"dispatch_date","crime_group","frequency"
"2024-01-26","Drug_and_Vice_Crimes","13"
"2024-01-27","Property_Crimes","226"
"2024-01-27","Violent_Crimes","99"
"2024-01-27","Other_Crimes","62"
"2024-01-27","Drug_and_Vice_Crimes","12"
"2024-01-27","Public_Order_Crimes","2"
"2024-01-28","Property_Crimes","229"
"2024-01-28","Violent_Crimes","93"
"2024-01-28","Other_Crimes","40"
"2024-01-28","Public_Order_Crimes","3"
"2024-01-28","Drug_and_Vice_Crimes","1"
"2024-01-29","Property_Crimes","247"
"2024-01-29","Violent_Crimes","122"
"2024-01-29","Other_Crimes","70"
"2024-01-29","Drug_and_Vice_Crimes","21"
"2024-01-29","Public_Order_Crimes","2"
"2024-01-30","Property_Crimes","216"
"2024-01-30","Violent_Crimes","114"
"2024-01-30","Other_Crimes","85"
"2024-01-30","Drug_and_Vice_Crimes","12"
"2024-01-30","Public_Order_Crimes","4"
"2024-01-31","Property_Crimes","223"
"2024-01-31","Violent_Crimes","118"
"2024-01-31","Other_Crimes","67"
"2024-01-31","Drug_and_Vice_Crimes","10"
"2024-02-01","Property_Crimes","219"
"2024-02-01","Violent_Crimes","117"
"2024-02-01","Other_Crimes","83"
"2024-02-01","Drug_and_Vice_Crimes","19"
"2024-02-01","Public_Order_Crimes","4"
"2024-02-02","Property_Crimes","208"
"2024-02-02","Violent_Crimes","100"
"2024-02-02","Other_Crimes","98"
"2024-02-02","Drug_and_Vice_Crimes","17"
"2024-02-02","Public_Order_Crimes","1"
"2024-02-03","Property_Crimes","231"
"2024-02-03","Violent_Crimes","96"
"2024-02-03","Other_Crimes","68"
"2024-02-03","Drug_and_Vice_Crimes","9"
"2024-02-03","Public_Order_Crimes","4"
"2024-02-04","Property_Crimes","202"
"2024-02-04","Violent_Crimes","99"
"2024-02-04","Other_Crimes","60"
"2024-02-04","Public_Order_Crimes","4"
"2024-02-04","Drug_and_Vice_Crimes","3"
"2024-02-05","Property_Crimes","227"
"2024-02-05","Violent_Crimes","106"
"2024-02-05","Other_Crimes","74"
"2024-02-05","Drug_and_Vice_Crimes","9"
"2024-02-05","Public_Order_Crimes","4"
"2024-02-06","Property_Crimes","245"
"2024-02-06","Other_Crimes","112"
"2024-02-06","Violent_Crimes","93"
"2024-02-06","Drug_and_Vice_Crimes","15"
"2024-02-06","Public_Order_Crimes","1"
"2024-02-07","Property_Crimes","240"
"2024-02-07","Violent_Crimes","138"
"2024-02-07","Other_Crimes","87"
"2024-02-07","Drug_and_Vice_Crimes","23"
"2024-02-07","Public_Order_Crimes","6"
"2024-02-08","Property_Crimes","208"
"2024-02-08","Violent_Crimes","107"
"2024-02-08","Other_Crimes","56"
"2024-02-08","Drug_and_Vice_Crimes","17"
"2024-02-08","Public_Order_Crimes","5"
"2024-02-09","Property_Crimes","206"
"2024-02-09","Violent_Crimes","107"
"2024-02-09","Other_Crimes","77"
"2024-02-09","Drug_and_Vice_Crimes","10"
"2024-02-09","Public_Order_Crimes","1"
"2024-02-10","Property_Crimes","204"
"2024-02-10","Violent_Crimes","98"
"2024-02-10","Other_Crimes","81"
"2024-02-10","Drug_and_Vice_Crimes","11"
"2024-02-10","Public_Order_Crimes","5"
"2024-02-11","Property_Crimes","200"
"2024-02-11","Violent_Crimes","102"
"2024-02-11","Other_Crimes","62"
"2024-02-11","Drug_and_Vice_Crimes","5"
"2024-02-11","Public_Order_Crimes","4"
"2024-02-12","Property_Crimes","261"
"2024-02-12","Violent_Crimes","128"
"2024-02-12","Other_Crimes","57"
