"district_psa","average_percent_attending_90","average_percent_proficient_all_keystones","crime_group","total_crimes"
"172","67.1","14.8","Other_Crimes","168"
"181","36.7","1.7","Public_Order_Crimes","6"
"181","36.7","1.7","Violent_Crimes","347"
"181","36.7","1.7","Drug_and_Vice_Crimes","20"
"181","36.7","1.7","Other_Crimes","209"
"181","36.7","1.7","Property_Crimes","472"
"182","41.65","7.8","Public_Order_Crimes","16"
"182","41.65","7.8","Property_Crimes","493"
"182","41.65","7.8","Drug_and_Vice_Crimes","18"
"182","41.65","7.8","Violent_Crimes","390"
"182","41.65","7.8","Other_Crimes","299"
"183","67.7","15.8","Other_Crimes","186"
"183","67.7","15.8","Public_Order_Crimes","15"
"183","67.7","15.8","Property_Crimes","1098"
"183","67.7","15.8","Drug_and_Vice_Crimes","12"
"183","67.7","15.8","Violent_Crimes","255"
"191","82.2","30.1","Violent_Crimes","425"
"191","82.2","30.1","Public_Order_Crimes","15"
"191","82.2","30.1","Drug_and_Vice_Crimes","7"
"191","82.2","30.1","Property_Crimes","724"
"191","82.2","30.1","Other_Crimes","228"
"192","52","4.2","Violent_Crimes","948"
"192","52","4.2","Drug_and_Vice_Crimes","44"
"192","52","4.2","Other_Crimes","395"
"192","52","4.2","Public_Order_Crimes","21"
"192","52","4.2","Property_Crimes","1026"
"193","34.95","5.15","Other_Crimes","165"
"193","34.95","5.15","Violent_Crimes","461"
"193","34.95","5.15","Public_Order_Crimes","8"
"193","34.95","5.15","Drug_and_Vice_Crimes","30"
"193","34.95","5.15","Property_Crimes","851"
"221","52.9","10.325","Other_Crimes","347"
"221","52.9","10.325","Violent_Crimes","734"
"221","52.9","10.325","Property_Crimes","995"
"221","52.9","10.325","Public_Order_Crimes","28"
"221","52.9","10.325","Drug_and_Vice_Crimes","62"
"224","33.8","0","Violent_Crimes","267"
"224","33.8","0","Public_Order_Crimes","8"
"224","33.8","0","Property_Crimes","660"
"224","33.8","0","Other_Crimes","124"
"224","33.8","0","Drug_and_Vice_Crimes","17"
"241","60.2","19.25","Violent_Crimes","516"
"241","60.2","19.25","Property_Crimes","763"
"241","60.2","19.25","Drug_and_Vice_Crimes","193"
"241","60.2","19.25","Other_Crimes","435"
"241","60.2","19.25","Public_Order_Crimes","48"
"242","34.7","6.7","Other_Crimes","417"
"242","34.7","6.7","Public_Order_Crimes","25"
"242","34.7","6.7","Drug_and_Vice_Crimes","558"
"242","34.7","6.7","Property_Crimes","510"
"242","34.7","6.7","Violent_Crimes","460"
"251","60.5","21.7","Property_Crimes","488"
"251","60.5","21.7","Violent_Crimes","295"
"251","60.5","21.7","Drug_and_Vice_Crimes","64"
"251","60.5","21.7","Public_Order_Crimes","13"
"251","60.5","21.7","Other_Crimes","199"
"252","43.8","7","Other_Crimes","468"
"252","43.8","7","Public_Order_Crimes","17"
"252","43.8","7","Property_Crimes","448"
"252","43.8","7","Drug_and_Vice_Crimes","180"
"252","43.8","7","Violent_Crimes","367"
"253","49.8","0","Other_Crimes","457"
"253","49.8","0","Violent_Crimes","442"
"253","49.8","0","Property_Crimes","539"
"253","49.8","0","Drug_and_Vice_Crimes","159"
"253","49.8","0","Public_Order_Crimes","57"
"261","32.4","0","Public_Order_Crimes","7"
"261","32.4","0","Drug_and_Vice_Crimes","14"
"261","32.4","0","Other_Crimes","181"
"261","32.4","0","Violent_Crimes","286"
"261","32.4","0","Property_Crimes","412"
"262","78.4","14.3","Drug_and_Vice_Crimes","13"
"262","78.4","14.3","Public_Order_Crimes","8"
"262","78.4","14.3","Violent_Crimes","233"
"262","78.4","14.3","Property_Crimes","904"
"262","78.4","14.3","Other_Crimes","142"
"263","40.400000000000006","4.475","Other_Crimes","165"
"263","40.400000000000006","4.475","Public_Order_Crimes","21"
"263","40.400000000000006","4.475","Violent_Crimes","250"
"263","40.400000000000006","4.475","Property_Crimes","987"
"263","40.400000000000006","4.475","Drug_and_Vice_Crimes","23"
"353","74.6","22.85","Property_Crimes","579"
"353","74.6","22.85","Drug_and_Vice_Crimes","16"
"353","74.6","22.85","Violent_Crimes","421"
"353","74.6","22.85","Other_Crimes","267"
"353","74.6","22.85","Public_Order_Crimes","7"
"391","49","3.9","Violent_Crimes","378"
"391","49","3.9","Drug_and_Vice_Crimes","13"
"391","49","3.9","Property_Crimes","880"
"391","49","3.9","Public_Order_Crimes","11"
"391","49","3.9","Other_Crimes","207"
"392","53.75","2","Public_Order_Crimes","7"
"392","53.75","2","Other_Crimes","305"
"392","53.75","2","Property_Crimes","783"
"392","53.75","2","Drug_and_Vice_Crimes","17"
"392","53.75","2","Violent_Crimes","486"
