Year,school_id,School_Name,Report_Type,Admission_Type,Number_Students_Served_Full_Year,October_1_Enrollment,PSSA_ELA_Percent_Students_Below_Basic_Grade_3,PSSA_ELA_Percent_Students_Below_Basic_Grades_3_to_8,PSSA_ELA_Percent_Students_Proficient_or_Advanced_Grade_3,PSSA_ELA_Percent_Students_Proficient_or_Advanced_Grades_3_to_8,PSSA_Math_Percent_Students_Below_Basic_Grade_3,PSSA_Math_Percent_Students_Below_Basic_Grades_3_to_8,PSSA_Math_Percent_Students_Proficient_or_Advanced_Grade_3,PSSA_Math_Percent_Students_Proficient_or_Advanced_Grades_3_to_8,PSSA_Science_Percent_Students_Below_Basic_Grades_4_to_8,PSSA_Science_Percent_Students_Proficient_or_Advanced_Grades_4_to_8,Percent_Metrics_Improving_All_Students,Percent_Students_Attending_at_Least_90_Percent,Number_Dropouts_Grades_7_to_12,Percent_Students_Receiving_Zero_Out_of_School_Suspensions
2022-2023,4220,James G. Blaine School,K-8 School,Catchment,384,315,50.0,35.4,11.9,14.6,72.7,76.6,11.4,7.9,47.8,17.9,78.6,40.9,0,92.2
2022-2023,4240,Lewis C. Cassidy Academics Plus School,K-8 School,Catchment,281,233,40.9,35.5,18.2,24.8,57.1,67.2,23.8,11.0,40.7,28.8,57.1,49.5,0,95.7
2022-2023,4270,William Dick School,K-8 School,Catchment,403,358,40.7,37.6,7.4,17.5,74.1,82.5,3.7,2.6,44.3,20.3,71.4,38.0,3,95.0
2022-2023,4280,Samuel Gompers School,K-8 School,Catchment,285,250,32.1,19.6,28.6,33.5,66.7,69.4,3.7,7.5,24.6,37.7,78.6,63.5,0,93.0
2022-2023,4300,Edward Heston School,K-8 School,Catchment,406,332,50.0,36.2,4.6,8.5,86.1,90.5,4.7,1.4,50.7,10.1,57.1,39.2,0,87.4
2022-2023,4320,Robert E. Lamberton School,K-8 School,Catchment,336,288,53.9,37.5,11.5,16.9,66.7,73.4,11.1,5.1,50.9,19.3,64.3,49.4,2,92.0
2022-2023,4350,E. Washington Rhodes School,K-8 School,Catchment,460,391,54.3,47.3,11.4,8.6,94.1,88.3,5.9,2.9,73.2,11.3,14.3,40.9,3,85.9
2022-2023,4360,Kenderton Elementary School,K-8 School,Catchment,423,358,41.9,35.9,9.7,12.7,67.7,77.5,16.1,5.9,47.5,30.0,57.1,44.0,3,90.5
2022-2023,4370,Overbrook Elementary School,K-8 School,Catchment,243,202,34.8,29.2,21.7,19.2,78.3,78.2,4.4,7.5,40.4,25.5,60.0,49.4,0,86.4
2022-2023,4440,Dr. Ethel Allen School,K-8 School,Catchment,385,334,45.0,40.2,17.5,14.9,80.0,81.1,7.5,5.7,50.0,17.2,92.9,34.3,0,89.9
2022-2023,4460,Tanner G. Duckrey School,K-8 School,Catchment,534,438,23.8,31.0,23.8,19.9,65.1,76.9,14.0,6.1,41.1,28.8,85.7,32.2,4,97.2
2022-2023,4480,Overbrook Educational Center,K-8 School,Citywide,275,265,21.4,15.1,25.0,41.4,48.3,46.5,13.8,18.6,20.3,42.4,35.7,85.8,0,99.3
2022-2023,4530,Edward Gideon School,K-8 School,Catchment,246,212,23.3,31.3,20.0,11.3,36.7,74.4,20.0,6.0,34.3,14.3,75.0,39.0,0,96.3
2022-2023,4560,William D. Kelley School,K-8 School,Catchment,252,218,,23.9,,23.9,,62.8,,9.9,31.1,31.1,70.0,66.3,3,98.0
2022-2023,4570,General George G. Meade School,K-8 School,Catchment,313,278,43.8,40.0,21.9,15.4,59.4,72.0,9.4,5.1,55.3,14.9,78.6,40.3,0,79.6
2022-2023,5170,Julia de Burgos School,K-8 School,Catchment,702,627,50.0,39.7,22.0,14.4,63.5,74.5,9.6,5.1,49.2,22.5,85.7,49.7,0,96.2
2022-2023,5200,Alexander Adaire School,K-8 School,Catchment,404,394,2.1,6.4,91.7,71.2,4.2,21.9,85.4,48.9,6.9,72.4,92.9,89.4,0,100.0
2022-2023,5210,Henry A. Brown School,K-8 School,Catchment,352,313,31.0,17.0,27.6,40.1,58.6,54.9,20.7,20.2,22.9,47.0,57.1,59.7,1,96.3
2022-2023,5250,Paul L. Dunbar School,K-8 School,Catchment,269,239,43.3,35.4,16.7,17.4,62.1,75.6,6.9,5.0,36.2,17.0,50.0,50.9,2,90.7
2022-2023,5320,John F. Hartranft School,K-8 School,Catchment,365,298,54.6,42.7,18.2,17.8,71.4,78.9,14.3,9.2,48.0,16.4,85.7,44.7,2,88.0
2022-2023,5330,William H. Hunter School,K-8 School,Catchment,465,423,37.5,35.9,18.8,16.0,75.0,70.6,8.3,7.4,54.6,15.5,42.9,49.3,2,97.2
2022-2023,5340,James R. Ludlow School,K-8 School,Catchment,240,203,,29.1,,24.3,,57.1,,19.5,31.9,34.0,70.0,52.9,1,95.8
2022-2023,5350,William McKinley School,K-8 School,Catchment,364,338,55.8,39.5,7.0,15.7,88.6,79.4,0.0,3.4,51.5,17.7,42.9,48.4,3,94.5
2022-2023,5390,Potter-Thomas School,K-8 School,Catchment,445,400,45.2,41.5,9.5,12.9,88.1,85.5,2.4,1.8,53.3,20.7,50.0,39.6,3,92.8
2022-2023,5420,John Welsh School,K-8 School,Catchment,276,253,34.8,33.1,17.4,21.5,58.3,74.3,4.2,3.4,38.1,33.3,78.6,50.7,0,91.7
2022-2023,5480,General Philip Kearny School,K-8 School,Catchment,211,194,48.0,26.2,12.0,31.0,88.0,72.9,4.0,10.1,32.4,29.7,64.3,53.6,0,90.1
2022-2023,5500,Thurgood Marshall School,K-8 School,Catchment,671,588,44.0,39.9,16.0,17.3,64.8,70.9,9.3,6.9,46.7,18.1,42.9,52.5,2,94.9
2022-2023,5560,Spring Garden School,K-8 School,Catchment,276,240,64.0,41.6,12.0,18.8,80.0,70.8,8.0,7.8,51.1,20.0,21.4,60.5,2,93.1
2022-2023,5680,Honorable Luis Munoz-Marin School,K-8 School,Catchment,568,493,48.1,40.6,15.4,14.4,75.0,77.5,5.8,5.2,42.0,28.6,64.3,59.9,1,95.4
2022-2023,6200,Anna B. Day School,K-8 School,Catchment,425,363,30.8,21.9,35.9,29.7,63.2,64.1,13.2,8.3,27.3,40.9,71.4,58.6,1,99.1
2022-2023,6210,Franklin S. Edmonds School,K-8 School,Catchment,488,437,27.8,27.5,25.0,22.4,48.7,70.2,32.4,7.8,32.6,31.5,71.4,64.8,1,88.7
