district_psa,district,police_service_area,location,zip_code,phone_number,geometry
223,22,3,17th St & Montgomery Ave,19121,686-3220,POINT (-75.1624040944383 39.9807863244576)
224,22,4,17th St & Montgomery Ave,19121,686-3220,POINT (-75.1624040944383 39.9807863244576)
241,24,1,3901 Whitaker Ave,19124,686-3240,POINT (-75.12249496409181 40.00874032905709)
242,24,2,3901 Whitaker Ave,19124,686-3240,POINT (-75.12249496409181 40.00874032905709)
243,24,3,3901 Whitaker Ave,19124,686-3240,POINT (-75.12249496409181 40.00874032905709)
251,25,1,3901 Whitaker Ave,19124,686-3250,POINT (-75.12249496409181 40.00874032905709)
252,25,2,3901 Whitaker Ave,19124,686-3250,POINT (-75.12249496409181 40.00874032905709)
253,25,3,3901 Whitaker Ave,19124,686-3250,POINT (-75.12249496409181 40.00874032905709)
254,25,4,3901 Whitaker Ave,19124,686-3250,POINT (-75.12249496409181 40.00874032905709)
261,26,1,E Girard Ave & Montgomery Ave,19125,686-3260,POINT (-75.12708186563236 39.97132290235508)
262,26,2,E Girard Ave & Montgomery Ave,19125,686-3260,POINT (-75.12708186563236 39.97132290235508)
263,26,3,E Girard Ave & Montgomery Ave,19125,686-3260,POINT (-75.12708186563236 39.97132290235508)
351,35,1,N Broad St & Champlost St,19141,686-3350,POINT (-75.14365339032658 40.04450198337808)
352,35,2,N Broad St & Champlost St,19141,686-3350,POINT (-75.14365339032658 40.04450198337808)
353,35,3,N Broad St & Champlost St,19141,686-3350,POINT (-75.14365339032658 40.04450198337808)
391,39,1,22nd St & Hunting Park Ave,19140,686-3390,POINT (-75.16425488717633 40.01090166363063)
392,39,2,22nd St & Hunting Park Ave,19140,686-3390,POINT (-75.16425488717633 40.01090166363063)
393,39,3,22nd St & Hunting Park Ave,19140,686-3390,POINT (-75.16425488717633 40.01090166363063)
